"method","degree","mean_rt_overall","median_rt_overall","sd_rt","bias","abs_bias","rmse"
"ABM",10,1.22513925009592,1.21771660744302,0.537646061089613,-1.77486074990408,1.77486074990408,1.8532882546155
"ABM",20,1.19904931846412,1.13235660041942,0.609501590941565,-1.80095068153588,1.80095068153588,1.89976603328571
"Cori",10,1.29181758387055,1.3651735016952,0.480647960043926,-1.70818241612945,1.70818241612945,1.77349933811867
"Cori",20,1.27763781300819,1.3147349154886,0.54549836955277,-1.72236218699181,1.72236218699181,1.80539482302395
"Wallinga-Teunis",10,1.15492428073748,1.12462889625221,0.473060183725204,-1.84507571926252,1.84507571926252,1.9038365717587
"Wallinga-Teunis",20,1.12259098706171,1.04092577112882,0.522349966080095,-1.87740901293829,1.87740901293829,1.9476269703643
