"sim_id","method","date","median_rt","q025_rt","q975_rt"
1,"EpiLPS",13,2.13561355842615,2.0612209982139,2.21269105781753
1,"EpiLPS",14,2.15952940858178,2.08976136275633,2.23162670611274
1,"EpiLPS",15,2.18252232788272,2.11472129114438,2.2524971643563
1,"EpiLPS",16,2.20207178512812,2.13846025913935,2.2675755259576
1,"EpiLPS",17,2.2168232225578,2.16104097078914,2.27404536355319
1,"EpiLPS",18,2.22548612449147,2.17755643665097,2.27447078153407
1,"EpiLPS",19,2.22751466202109,2.18353863492648,2.27237635741949
1,"EpiLPS",20,2.22245048374891,2.1800903068493,2.26563373874823
1,"EpiLPS",21,2.21018948947438,2.17049687857773,2.25060797257815
1,"EpiLPS",22,2.19056204602005,2.15582134065603,2.22586259212152
1,"EpiLPS",23,2.16366631032164,2.13423746307365,2.19350094983284
1,"EpiLPS",24,2.12952264899311,2.10294328955118,2.15643794823514
1,"EpiLPS",25,2.08827463143152,2.0626533389844,2.11421417930929
1,"EpiLPS",26,2.04017414366771,2.01583622981499,2.06480589788402
1,"EpiLPS",27,1.98557793714507,1.96388687317623,2.00750857818046
1,"EpiLPS",28,1.92510003653347,1.90662349698055,1.94375562691336
1,"EpiLPS",29,1.85986315994069,1.84332969743428,1.8765449167988
1,"EpiLPS",30,1.79098113219643,1.775030595097,1.80707500183023
1,"EpiLPS",31,1.71931244737466,1.70386466637082,1.7349002828926
1,"EpiLPS",32,1.64550861137238,1.63132394472668,1.65981661634614
1,"EpiLPS",33,1.57014612915264,1.55779495767407,1.58259522843367
1,"EpiLPS",34,1.49403982132088,1.48296197823621,1.50520041676819
1,"EpiLPS",35,1.41796905805112,1.40720890406979,1.428811489023
1,"EpiLPS",36,1.34248600713376,1.3317650253075,1.35329329506443
1,"EpiLPS",37,1.26797002595578,1.25768919094213,1.27833490046769
1,"EpiLPS",38,1.19477624644701,1.18544530420313,1.20418063491642
1,"EpiLPS",39,1.12400522312441,1.11548419339986,1.13259134381842
1,"EpiLPS",40,1.05693072573958,1.04858983542114,1.0653379627352
1,"EpiLPS",41,0.994297756056032,0.985780186808598,1.00288892080362
1,"EpiLPS",42,0.936398688790734,0.927868012134182,0.945007795184346
1,"EpiLPS",43,0.883256619164162,0.875130336581438,0.891458360756651
1,"EpiLPS",44,0.834659880939665,0.827019433431312,0.842370914985369
1,"EpiLPS",45,0.790264354621631,0.782690093739263,0.797911913260508
1,"EpiLPS",46,0.7497403108971,0.741832387178285,0.757732532981183
1,"EpiLPS",47,0.712799958954314,0.704560840280284,0.721135425697445
1,"EpiLPS",48,0.679191137436525,0.670966296088613,0.687516800562807
1,"EpiLPS",49,0.64867800032368,0.640692939285332,0.656762580485584
1,"EpiLPS",50,0.621032202756128,0.613022648837815,0.629146406892654
1,"EpiLPS",51,0.596056157116642,0.587601997573604,0.604631951395223
1,"EpiLPS",52,0.573582934905443,0.564559069115853,0.582751037424621
1,"EpiLPS",53,0.553471790742403,0.544152754436379,0.562950422744609
1,"EpiLPS",54,0.535623698548624,0.526335562950185,0.545075739968686
1,"EpiLPS",55,0.520006491119218,0.510592964127885,0.529593570228661
1,"EpiLPS",56,0.506605362285239,0.496603359488999,0.516808813698417
1,"EpiLPS",57,0.495410036809076,0.48455821211673,0.50650489132985
1,"EpiLPS",58,0.486418885218739,0.474920620259334,0.49819553374676
1,"EpiLPS",59,0.479566169250057,0.467859366297813,0.491565900473562
1,"EpiLPS",60,0.474463668407883,0.462525692976709,0.486709767819107
1,"EpiLPS",61,0.470668720266366,0.457998460449005,0.483689495418826
1,"EpiLPS",62,0.467816334266432,0.45400328679745,0.482049643627627
1,"EpiLPS",63,0.465613416121124,0.450793886410337,0.480920127374229
1,"EpiLPS",64,0.463813829493297,0.448566310026528,0.479579637660516
1,"EpiLPS",65,0.462149147517505,0.446618738438008,0.478219600230237
1,"EpiLPS",66,0.460354899026069,0.443982454986094,0.477331098734385
1,"EpiLPS",67,0.458204803231474,0.440386083447936,0.476744496693921
1,"EpiLPS",68,0.455509259747764,0.436276770143145,0.47558957963285
1,"EpiLPS",69,0.452138110019968,0.432182245194572,0.47301542996148
1,"EpiLPS",70,0.448403061009111,0.428057624750193,0.469715509073523
1,"EpiLPS",71,0.444943283048007,0.423614048746034,0.467346457738063
1,"EpiLPS",72,0.44234311455558,0.41923155970134,0.466728771884741
1,"EpiLPS",73,0.441095295074257,0.416085576665831,0.467608276392879
1,"EpiLPS",74,0.44161369594629,0.415452609250509,0.469422148531382
1,"EpiLPS",75,0.44381391888287,0.417100905352522,0.472237753662262
1,"EpiLPS",76,0.446992855453063,0.419200002254534,0.476628367727834
1,"EpiLPS",77,0.450419594927183,0.420539064016313,0.482423224983679
1,"EpiLPS",78,0.453443296420608,0.421152432532245,0.488209985711158
1,"EpiLPS",79,0.455494019958272,0.421604695754252,0.492107427424576
1,"EpiLPS",80,0.456185403508869,0.421628483484384,0.493574629149212
1,"EpiLPS",81,0.455430053533212,0.419757890019808,0.494133734213969
1,"EpiLPS",82,0.453224785775169,0.415249435370023,0.494673054179851
1,"EpiLPS",83,0.44958371022979,0.408829067767626,0.494401030747817
1,"EpiLPS",84,0.444529345434391,0.401822585195379,0.491775092373778
1,"EpiLPS",85,0.438225558135582,0.394780818837735,0.486451293070995
1,"EpiLPS",86,0.431303812199037,0.386964620056731,0.48072347903576
1,"EpiLPS",87,0.424445796573342,0.378115342520054,0.476453118850166
1,"EpiLPS",88,0.418214935763501,0.369260749600166,0.473659149219228
1,"EpiLPS",89,0.413066302387582,0.361986811594021,0.47135355406127
1,"EpiLPS",90,0.409314493261792,0.357121669811009,0.469135223529897
1,"EpiLPS",91,0.406847257789262,0.353401305071558,0.468376004262707
1,"EpiLPS",92,0.40538836452639,0.349503779731265,0.470208723407062
1,"EpiLPS",93,0.404690945455163,0.345454289267204,0.474085187017944
1,"EpiLPS",94,0.404549319880856,0.342156427086853,0.478319678544339
1,"EpiLPS",95,0.404797324832138,0.340247052200112,0.481593809943965
1,"EpiLPS",96,0.405367168032997,0.338873917920984,0.484907607900964
1,"EpiLPS",97,0.406257779748971,0.33691575506999,0.489871373252574
1,"EpiLPS",98,0.407476871103827,0.334386511164395,0.496543356089311
1,"EpiLPS",99,0.409030234940453,0.332185052707187,0.503652201482161
1,"EpiLPS",100,0.410914969377867,0.331134352167991,0.509917231339234
1,"EpiLPS",101,0.41297322419107,0.330615810306116,0.515846122848326
1,"EpiLPS",102,0.414881573494586,0.329233537697741,0.522810407557471
1,"EpiLPS",103,0.416321847463089,0.326539302613209,0.53079025798124
1,"EpiLPS",104,0.417011628964531,0.323028021074394,0.538339361747204
1,"EpiLPS",105,0.416708210536212,0.31933923784862,0.543765726686577
1,"EpiLPS",106,0.415277395491577,0.315210472492444,0.547111629390427
1,"EpiLPS",107,0.412740735315996,0.309694343031746,0.550074350475709
1,"EpiLPS",108,0.409152298032107,0.302586861951702,0.553248088516398
1,"EpiLPS",109,0.404567141966337,0.29449192663645,0.555786279876074
1,"EpiLPS",110,0.399038844361716,0.286179194659855,0.55640662312574
1,"EpiLPS",111,0.392715281165994,0.277838554846526,0.555089599233186
1,"EpiLPS",112,0.386006798476135,0.269052914590742,0.553799049887426
1,"EpiLPS",113,0.379330635655367,0.259823915438429,0.553804798545588
1,"EpiLPS",114,0.373033181352969,0.250704905113852,0.555049987263408
1,"EpiLPS",115,0.367394007176338,0.242383681812344,0.556878893413249
1,"EpiLPS",116,0.362644081544326,0.235163067615967,0.559232073353846
1,"EpiLPS",117,0.358992414221306,0.228665719479827,0.563598049421705
1,"EpiLPS",118,0.356630689609949,0.222654333296651,0.571223774936432
1,"EpiLPS",119,0.355736381821192,0.217317782199372,0.582319458953134
1,"EpiLPS",120,0.356484053452605,0.213051174829884,0.596480542608935
1,"EpiLPS",121,0.359039826429653,0.21010008164503,0.613562812319282
1,"EpiLPS",122,0.363449748197953,0.208124960395103,0.634694268358708
1,"EpiLPS",123,0.369701229015909,0.20672252371956,0.661171295109053
1,"EpiLPS",124,0.377801440809715,0.205828675044435,0.693459881851168
1,"EpiLPS",125,0.387785624294417,0.205620974908662,0.73133439074593
1,"EpiLPS",126,0.399711730386576,0.206266038857761,0.774579607449609
1,"EpiLPS",127,0.413560643393478,0.207514419035561,0.82419528512242
1,"EpiLPS",128,0.429228711945257,0.2089455364814,0.881747895938352
1,"EpiLPS",129,0.446612382697756,0.210410514189,0.947968884291596
1,"EpiLPS",130,0.465614541882214,0.212004923674741,1.0226031445609
1,"EpiLPS",131,0.486133076483379,0.213867025832896,1.10501077541447
1,"EpiLPS",132,0.508002630189288,0.215854004102686,1.19556120050693
1,"EpiLPS",133,0.530954030856781,0.217612127187222,1.2954801119173
1,"EpiLPS",134,0.554681901666385,0.218995861094923,1.40492158389641
1,"EpiLPS",135,0.578859163648312,0.220080384189034,1.52252520175453
1,"EpiLPS",136,0.603144243352902,0.220996741929509,1.64610109232189
1,"EpiLPS",137,0.627173084555617,0.221685779281225,1.77434059715674
1,"EpiLPS",138,0.650546101358798,0.221877913426857,1.90740134273277
1,"EpiLPS",139,0.672860533279304,0.221447666310868,2.04446181252302
1,"EpiLPS",140,0.693735147786559,0.220463059819038,2.18298909427039
1,"EpiLPS",141,0.712826412043366,0.21905140805586,2.31964495556698
2,"EpiLPS",13,2.28907440198752,2.06877895150799,2.53282817577733
2,"EpiLPS",14,2.29979988796254,2.07325903491245,2.55109440528539
2,"EpiLPS",15,2.30547306524899,2.08447236953551,2.54990477795251
2,"EpiLPS",16,2.30533326749926,2.09761597401048,2.53361985229251
2,"EpiLPS",17,2.29931897582084,2.09447446341172,2.52419776174206
2,"EpiLPS",18,2.28740495170774,2.07565293516156,2.52075928709625
2,"EpiLPS",19,2.27006590501517,2.05711433319212,2.50506212997694
2,"EpiLPS",20,2.24729136797894,2.04630574755463,2.46801754753799
2,"EpiLPS",21,2.21914853324671,2.0292675578981,2.42679689696114
2,"EpiLPS",22,2.18567300256591,1.9935642292697,2.39629423722932
2,"EpiLPS",23,2.14680456366616,1.94921460038401,2.36442402682079
2,"EpiLPS",24,2.10271391830243,1.91019263924161,2.31463870784161
2,"EpiLPS",25,2.05361132744047,1.87542181255343,2.24873116861632
2,"EpiLPS",26,1.99980003986641,1.82827242829664,2.1874202867981
2,"EpiLPS",27,1.94164453739732,1.76665433436307,2.13396782623244
2,"EpiLPS",28,1.87952033323791,1.7040411157872,2.07307009809023
2,"EpiLPS",29,1.81380555554865,1.64899109011832,1.99509300750866
2,"EpiLPS",30,1.74501716882862,1.59341644701313,1.91104147645438
2,"EpiLPS",31,1.6737795542381,1.52580748150045,1.83610188713357
2,"EpiLPS",32,1.60065980252488,1.4514319041473,1.76523045697014
2,"EpiLPS",33,1.52613315524408,1.38147936409166,1.68593354926199
2,"EpiLPS",34,1.4507044920342,1.31841523751979,1.59626759712462
2,"EpiLPS",35,1.37539499186156,1.2525931007103,1.51023615136084
2,"EpiLPS",36,1.30123654833494,1.1803109803431,1.43455121821406
2,"EpiLPS",37,1.22890374234689,1.10916993503837,1.36156269679447
2,"EpiLPS",38,1.15877951801606,1.04610743725773,1.28358706147188
2,"EpiLPS",39,1.09137241066651,0.989039322838691,1.20429361225538
2,"EpiLPS",40,1.02755194382976,0.930935775637395,1.13419531712099
2,"EpiLPS",41,0.967920129440172,0.872526900083672,1.07374268562452
2,"EpiLPS",42,0.912720252232702,0.819784497687726,1.01619176891664
2,"EpiLPS",43,0.861967742120982,0.775736685787394,0.957784261167164
2,"EpiLPS",44,0.815526222680919,0.735986558758281,0.9036619106228
2,"EpiLPS",45,0.773184496132299,0.696231531734061,0.858642905141652
2,"EpiLPS",46,0.734715145483218,0.658293061171835,0.820009167408677
2,"EpiLPS",47,0.699896392730163,0.626019799313793,0.782491162569692
2,"EpiLPS",48,0.668472155166976,0.599717258169569,0.74510949309255
