"sim_id","method","date","median_rt","q025_rt","q975_rt","reporting_rate"
1,"RtEstim",13,1.7724104957024,0.826711251087566,2.71810974031722,0.7
1,"RtEstim",14,1.80044610442687,0.926200048865001,2.67469215998875,0.7
1,"RtEstim",15,1.8232158196247,1.00440789325653,2.64202374599286,0.7
1,"RtEstim",16,1.84059040986905,1.092495462922,2.5886853568161,0.7
1,"RtEstim",17,1.8524872459391,1.12806958879253,2.57690490308567,0.7
1,"RtEstim",18,1.85886992560368,1.18339679000727,2.53434306120009,0.7
1,"RtEstim",19,1.85974749557729,1.27674699212611,2.44274799902848,0.7
1,"RtEstim",20,1.85517339220565,1.32897296183784,2.38137382257346,0.7
1,"RtEstim",21,1.84524422600015,1.36300496705905,2.32748348494124,0.7
1,"RtEstim",22,1.83009855246941,1.39436520303857,2.26583190190026,0.7
1,"RtEstim",23,1.80991572773047,1.42152703050467,2.19830442495626,0.7
1,"RtEstim",24,1.78491489155124,1.44754475486415,2.12228502823832,0.7
1,"RtEstim",25,1.75535406771763,1.45052257932425,2.06018555611101,0.7
1,"RtEstim",26,1.72152930934979,1.45063773560452,1.99242088309506,0.7
1,"RtEstim",27,1.68377375786845,1.44655720959294,1.92099030614397,0.7
1,"RtEstim",28,1.64245637340536,1.43414354700091,1.8507691998098,0.7
1,"RtEstim",29,1.59798004527601,1.40903386994241,1.78692622060962,0.7
1,"RtEstim",30,1.5507787620021,1.38116660237525,1.72039092162894,0.7
1,"RtEstim",31,1.50131352018096,1.34868433486566,1.65394270549626,0.7
1,"RtEstim",32,1.45006671899195,1.31010459607378,1.59002884191013,0.7
1,"RtEstim",33,1.39753491843147,1.26918333592016,1.52588650094278,0.7
1,"RtEstim",34,1.34422002336117,1.22638929167624,1.4620507550461,0.7
1,"RtEstim",35,1.29061919507675,1.18157042770889,1.3996679624446,0.7
1,"RtEstim",36,1.23721400179944,1.13547880028289,1.338949203316,0.7
1,"RtEstim",37,1.18445948285928,1.08835259785608,1.28056636786248,0.7
1,"RtEstim",38,1.13277389713993,1.04100069300343,1.22454710127643,0.7
1,"RtEstim",39,1.08252991617041,0.994482073289939,1.17057775905088,0.7
1,"RtEstim",40,1.03404790712372,0.947546030509235,1.12054978373821,0.7
1,"RtEstim",41,0.987591737501372,0.901977147675691,1.07320632732705,0.7
1,"RtEstim",42,0.943367263883744,0.858511720580212,1.02822280718728,0.7
1,"RtEstim",43,0.901523394389206,0.816968497483353,0.986078291295059,0.7
1,"RtEstim",44,0.862155377095518,0.775689449154166,0.948621305036869,0.7
1,"RtEstim",45,0.82530981160734,0.736660903916534,0.913958719298147,0.7
1,"RtEstim",46,0.790990810687261,0.700921130649455,0.881060490725068,0.7
1,"RtEstim",47,0.759166729147811,0.666706542110566,0.851626916185057,0.7
1,"RtEstim",48,0.729776954326187,0.633691327779915,0.82586258087246,0.7
1,"RtEstim",49,0.70273837234223,0.603902497360782,0.801574247323677,0.7
1,"RtEstim",50,0.677951238134586,0.574973901611583,0.780928574657589,0.7
1,"RtEstim",51,0.655304287683864,0.548175333135691,0.762433242232038,0.7
1,"RtEstim",52,0.634679033739534,0.52195591092029,0.747402156558778,0.7
1,"RtEstim",53,0.615953255694845,0.497728880003289,0.7341776313864,0.7
1,"RtEstim",54,0.59900374524287,0.474922179047387,0.723085311438354,0.7
1,"RtEstim",55,0.583708397377756,0.454772605480216,0.712644189275296,0.7
1,"RtEstim",56,0.56994774964874,0.435157819151418,0.704737680146061,0.7
1,"RtEstim",57,0.557606073094857,0.414831404214128,0.700380741975586,0.7
1,"RtEstim",58,0.546572111187856,0.397349120990687,0.695795101385026,0.7
1,"RtEstim",59,0.536739551336507,0.379666474901102,0.693812627771912,0.7
1,"RtEstim",60,0.528007300351401,0.362279165387596,0.693735435315207,0.7
1,"RtEstim",61,0.520279621883411,0.347802131778821,0.692757111988002,0.7
1,"RtEstim",62,0.513466181656535,0.333143312760219,0.693789050552852,0.7
1,"RtEstim",63,0.50748203561038,0.322508923695698,0.692455147525062,0.7
1,"RtEstim",64,0.502247586329684,0.311165457216667,0.693329715442701,0.7
1,"RtEstim",65,0.497688525781716,0.301371540589137,0.694005510974295,0.7
1,"RtEstim",66,0.493735775172873,0.292249967548714,0.695221582797033,0.7
1,"RtEstim",67,0.490325428402795,0.283046639799423,0.697604217006166,0.7
1,"RtEstim",68,0.487398701638271,0.280554297658981,0.694243105617561,0.7
1,"RtEstim",69,0.484901888901916,0.276278363844712,0.69352541395912,0.7
1,"RtEstim",70,0.482786322074698,0.271186729326753,0.694385914822643,0.7
1,"RtEstim",71,0.481008330336323,0.26536983996907,0.696646820703576,0.7
1,"RtEstim",72,0.479529194620695,0.260590783322215,0.698467605919174,0.7
1,"RtEstim",73,0.47831509326547,0.255483694669142,0.701146491861798,0.7
1,"RtEstim",74,0.47733703587687,0.255303723049484,0.699370348704256,0.7
1,"RtEstim",75,0.476570782889755,0.248791240392782,0.704350325386728,0.7
1,"RtEstim",76,0.475996749365765,0.243618194551322,0.708375304180208,0.7
1,"RtEstim",77,0.475599891372595,0.237482486186798,0.713717296558392,0.7
1,"RtEstim",78,0.475369575986377,0.235235459969568,0.715503692003186,0.7
1,"RtEstim",79,0.475299436580314,0.233855566079344,0.716743307081283,0.7
1,"RtEstim",80,0.475387216091786,0.23196701826016,0.718807413923411,0.7
1,"RtEstim",81,0.47563460120394,0.233038894963605,0.718230307444275,0.7
