"sim_id","method","date","median_rt","q025_rt","q975_rt","reporting_rate"
1,"RtEstim",17,1.55802827262218,0.957997151626197,2.15805939361816,0.7
1,"RtEstim",18,1.56606281035924,0.994018231516702,2.13810738920179,0.7
1,"RtEstim",19,1.57249072368427,1.01637346148304,2.12860798588549,0.7
1,"RtEstim",20,1.57733134053417,1.04951321012472,2.10514947094362,0.7
1,"RtEstim",21,1.58060931414534,1.06322176115087,2.09799686713981,0.7
1,"RtEstim",22,1.58235429880119,1.08341209054927,2.08129650705312,0.7
1,"RtEstim",23,1.58260060678885,1.10292234568863,2.06227886788907,0.7
1,"RtEstim",24,1.5813868504385,1.12938060361749,2.03339309725952,0.7
1,"RtEstim",25,1.57875557304139,1.14655811842086,2.01095302766191,0.7
1,"RtEstim",26,1.57475287232752,1.16450120088663,1.9850045437684,0.7
1,"RtEstim",27,1.56942802003378,1.17612126020761,1.96273477985994,0.7
1,"RtEstim",28,1.56283308091314,1.19171452837917,1.93395163344711,0.7
1,"RtEstim",29,1.55502253432897,1.20779776471029,1.90224730394764,0.7
1,"RtEstim",30,1.54605290134819,1.22632460422236,1.86578119847402,0.7
1,"RtEstim",31,1.53598238000334,1.24445420210147,1.82751055790522,0.7
1,"RtEstim",32,1.5248704911376,1.25530553181586,1.79443545045935,0.7
1,"RtEstim",33,1.51277773698694,1.26596564414023,1.75958982983366,0.7
1,"RtEstim",34,1.49976527438961,1.27103310628846,1.72849744249076,0.7
1,"RtEstim",35,1.48589460423709,1.27835533930871,1.69343386916548,0.7
1,"RtEstim",36,1.47122727851884,1.2804713091848,1.66198324785289,0.7
1,"RtEstim",37,1.45582462604202,1.278743490831,1.63290576125304,0.7
1,"RtEstim",38,1.43974749766989,1.27570152917722,1.60379346616255,0.7
1,"RtEstim",39,1.42305603166726,1.2734611277733,1.57265093556123,0.7
1,"RtEstim",40,1.40580943949911,1.27039680504216,1.54122207395606,0.7
1,"RtEstim",41,1.38806581221116,1.2643445490571,1.51178707536521,0.7
1,"RtEstim",42,1.36988194733647,1.2569504669087,1.48281342776425,0.7
1,"RtEstim",43,1.3513131960949,1.24856334498612,1.45406304720368,0.7
1,"RtEstim",44,1.33241333047093,1.23812880574281,1.42669785519906,0.7
1,"RtEstim",45,1.31323442960492,1.22645779151579,1.40001106769406,0.7
1,"RtEstim",46,1.29382678480219,1.21342471544945,1.37422885415492,0.7
1,"RtEstim",47,1.27423882233661,1.19945675912697,1.34902088554626,0.7
1,"RtEstim",48,1.25451704312365,1.18530562794665,1.32372845830064,0.7
1,"RtEstim",49,1.23470597825075,1.17038977981016,1.29902217669133,0.7
1,"RtEstim",50,1.21484815929012,1.15481010531821,1.27488621326203,0.7
1,"RtEstim",51,1.19498410228301,1.1389209763963,1.25104722816972,0.7
1,"RtEstim",52,1.1751523042562,1.12232767142072,1.22797693709169,0.7
1,"RtEstim",53,1.15538925112101,1.10546203898256,1.20531646325946,0.7
1,"RtEstim",54,1.13572943581348,1.08843131829472,1.18302755333225,0.7
1,"RtEstim",55,1.11620538555584,1.07118463732751,1.16122613378418,0.7
1,"RtEstim",56,1.096847697158,1.05357474231815,1.14012065199785,0.7
1,"RtEstim",57,1.07768507932932,1.03592209738238,1.11944806127625,0.7
1,"RtEstim",58,1.05874440103315,1.01833910218026,1.09914969988605,0.7
1,"RtEstim",59,1.04005074499281,1.00086205382551,1.07923943616012,0.7
1,"RtEstim",60,1.0216274655377,0.983378335581162,1.05987659549424,0.7
1,"RtEstim",61,1.00349625006002,0.965795575880516,1.04119692423953,0.7
1,"RtEstim",62,0.985677183434882,0.948273054588705,1.02308131228106,0.7
1,"RtEstim",63,0.968188814843749,0.930931669323337,1.00544596036416,0.7
1,"RtEstim",64,0.951048226530961,0.913688506714981,0.988407946346941,0.7
1,"RtEstim",65,0.93427110410289,0.896630369568649,0.97191183863713,0.7
1,"RtEstim",66,0.917871808047907,0.879649558119618,0.956094057976196,0.7
1,"RtEstim",67,0.901863446220409,0.862922068779509,0.940804823661308,0.7
1,"RtEstim",68,0.886257947085306,0.846549434490912,0.9259664596797,0.7
1,"RtEstim",69,0.871066133568114,0.830316146402174,0.911816120734054,0.7
1,"RtEstim",70,0.856297797389397,0.814307842572299,0.898287752206494,0.7
1,"RtEstim",71,0.841961773786892,0.798508493478303,0.885415054095482,0.7
1,"RtEstim",72,0.828066016553855,0.782892719983498,0.873239313124213,0.7
1,"RtEstim",73,0.814617673339597,0.767561443505255,0.86167390317394,0.7
1,"RtEstim",74,0.801623161172247,0.752415795821701,0.850830526522792,0.7
1,"RtEstim",75,0.789088242175516,0.737490802427278,0.840685681923753,0.7
1,"RtEstim",76,0.777018099461127,0.72278845867675,0.831247740245504,0.7
1,"RtEstim",77,0.76541741318959,0.708290533324459,0.822544293054721,0.7
1,"RtEstim",78,0.75429043680412,0.694052039428027,0.814528834180213,0.7
1,"RtEstim",79,0.743641073456704,0.679818126207245,0.807464020706164,0.7
1,"RtEstim",80,0.733472952662375,0.665807407402137,0.801138497922614,0.7
1,"RtEstim",81,0.723789507238171,0.651870603631785,0.795708410844557,0.7
1,"RtEstim",82,0.714594050606047,0.638531471892297,0.790656629319798,0.7
1,"RtEstim",83,0.705889854566296,0.625462005006692,0.786317704125901,0.7
1,"RtEstim",84,0.697680227678198,0.612693959399551,0.782666495956845,0.7
