"method","degree","mean_rt_overall","median_rt_overall","sd_rt","bias","abs_bias","rmse"
"ABM",10,1.34064760510642,1.35693836210178,0.0618217794765391,-0.659352394893584,0.659352394893584,0.662199211246529
"ABM",20,1.38431976328918,1.40821216014645,0.0885963243733457,-0.615680236710819,0.615680236710819,0.621923481724591
"Cori",10,1.3400848905331,1.35724887908046,0.0486906121320738,-0.659915109466902,0.659915109466902,0.661680953361999
"Cori",20,1.3854382352351,1.40448360186789,0.064516071373024,-0.6145617647649,0.6145617647649,0.617886275840636
"Wallinga-Teunis",10,1.31474435798718,1.33585751236337,0.0626897443381179,-0.685255642012818,0.685255642012818,0.688072592567363
"Wallinga-Teunis",20,1.35005310995445,1.37976126480424,0.0854931744000698,-0.64994689004555,0.64994689004555,0.6554584947417
