method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.2734483488382982,1.382370346568245
Cori,medium_delay,1.2899247177634918,1.3976133036895169
Wallinga-Teunis,high_delay,1.4631425572911163,1.554230623521696
Wallinga-Teunis,medium_delay,1.479078484982165,1.5694302502500128
ABM,true_baseline,1.4641215300617825,1.6160412156396295
