method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.9451010863819398,2.1284905760168926
Cori,medium_delay,1.9588937213938282,2.1380541487688856
Wallinga-Teunis,high_delay,2.1452639366366206,2.2632596189086454
Wallinga-Teunis,medium_delay,2.1609905174341844,2.27407397284239
ABM,true_baseline,2.2321127930178273,2.407217083970055
