method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.352595517709232,1.4616852233123354
Cori,medium_delay,1.3686165371799917,1.477388631868642
ABM,true_baseline,1.4641215300617825,1.6160412156396295
Wallinga-Teunis,high_delay,1.5426404639219757,1.6316219420887947
Wallinga-Teunis,medium_delay,1.5588472792080514,1.6466717972759732
