method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.8818202778248192,2.083950612888609
Cori,medium_delay,1.8971513383636682,2.0941749051254055
Wallinga-Teunis,high_delay,2.038976690362095,2.1793372015186594
Wallinga-Teunis,medium_delay,2.059041428694784,2.1944525352196766
ABM,true_baseline,2.2321127930178273,2.407217083970055
