"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,4.7657,3.86975,5.89725,100
2,4.74250925651016,2.75503246753247,7.3655303030303,100
3,4.81860269769362,3.38708333333333,6.19632107023411,100
4,4.80003349374671,3.43,6.48875,100
5,4.75477901229356,3.73587634713556,5.96682692307692,100
6,4.61320966326315,3.69978813559322,5.7014347826087,100
7,4.53860884770264,3.69584848484849,5.35064867042707,100
8,4.59038115283818,3.77375,5.45260989010989,100
9,4.44513297900849,3.74412384716733,5.18144720873786,100
10,4.42764592665731,3.81937838965373,5.07942989214176,100
11,4.29602807817683,3.72890905017921,4.88479449472097,100
12,4.17612655824559,3.64065842245989,4.55506192396313,100
13,4.12737642383845,3.6926923382137,4.60096868713374,100
14,3.97484822246597,3.61855966567362,4.37651515151515,100
15,3.90489737456518,3.5517767958824,4.26056681681682,100
16,3.72718198646206,3.42146553983229,4.03455930334084,100
17,3.58930850430159,3.31503759398496,3.84714894961302,100
18,3.42713399498428,3.17065034250007,3.75123604218362,100
19,3.26406732100545,2.9934448086416,3.50139741955109,100
20,3.10021763349728,2.86827968551454,3.34265613368799,100
21,2.91364719837777,2.71231903272803,3.14000901106995,100
22,2.72569834538219,2.53614370563523,2.92294626563351,100
23,2.53957041330039,2.29545494274976,2.76543007354921,100
24,2.32857497856496,2.1475845410628,2.56041433598774,100
25,2.11580369271841,1.89222635619263,2.31972646263012,100
26,1.92908094532531,1.71220111678585,2.1369445508982,100
27,1.72654177719869,1.50890196668555,1.92655275121982,100
28,1.53183613756174,1.32545017750473,1.71867470775897,100
29,1.35024043129175,1.16444377468762,1.5183880612872,100
30,1.17705281494068,1.01070861828128,1.34096398715866,100
31,1.02234244984162,0.86306988867299,1.16716073292603,100
32,0.874287983436131,0.747437522803842,1.0224530446806,100
33,0.746499582863437,0.619817873096014,0.867913082416158,100
34,0.633379129018968,0.522518353290907,0.743433088304297,100
35,0.533152024612605,0.441366845303158,0.629928216019197,100
36,0.448834131928732,0.379656375413914,0.527990668370872,100
37,0.378564780630538,0.318992867512773,0.44550485636139,100
38,0.319775274616409,0.26315820637458,0.383714399730067,100
39,0.271379916641896,0.225825224417284,0.322964853062973,100
40,0.229169600377668,0.189421631660542,0.268561668235417,100
41,0.197137882053994,0.164931372477439,0.231442849430277,100
42,0.171823666519373,0.143306309797646,0.197907846640133,100
43,0.148869531046489,0.125908905228758,0.177665043290043,100
44,0.131354723709887,0.106545502336211,0.153884458017078,100
45,0.116656913216249,0.0937482707184002,0.137868464219352,100
46,0.106298294996079,0.0886258942592916,0.126890340360933,100
47,0.095949392755693,0.0748553703749292,0.121654449838188,100
48,0.0880085655992718,0.0672531778528344,0.118648187925268,100
49,0.0817505597521734,0.0611818862848922,0.105406324702005,100
50,0.0762204174082498,0.0522274185840104,0.0977723195563572,100
51,0.0704143381461531,0.0445807804642379,0.100085306315292,100
52,0.0669360262820594,0.0389363452962412,0.101999726937605,100
53,0.0650481211455136,0.0368129913255625,0.0929681243620947,100
54,0.0618972195496408,0.0349061724565757,0.101840371530403,100
55,0.0611199376193695,0.0303321356182053,0.0971737852664577,100
56,0.0578365616855791,0.0235148362472297,0.0958529874213836,100
57,0.058095875991616,0.021134328358209,0.105663861216077,100
