"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,5.3382,4.7595,5.962,100
1,5.09752933482248,4.53335543766578,5.6130604288499,100
2,4.90211670952786,4.40395008663201,5.3785700312989,100
3,4.68260255708379,4.32984662576687,5.06727321106926,100
4,4.43482911557638,4.16715993894166,4.72273338277556,100
5,4.14074545312173,3.96070509453782,4.31087823963594,100
6,3.7947035641143,3.65389739171072,3.96332163207163,100
7,3.42422157336737,3.28597393933089,3.61189984933836,100
8,3.01985342010064,2.88892842763283,3.1616306125642,100
9,2.59545019204575,2.47477269101377,2.76125864910209,100
10,2.15962359689689,2.01804249945833,2.3138557218192,100
11,1.73842909149764,1.6158654565131,1.88027487369902,100
12,1.34162237212695,1.23163549166738,1.4541745987624,100
13,1.00602808854816,0.911999865921803,1.10392554643813,100
14,0.729647366921185,0.656978833503764,0.807955524594404,100
15,0.519592535932462,0.46448905816918,0.572901492698004,100
16,0.366179334236975,0.329266100689043,0.408960296638639,100
17,0.261230024638939,0.235036147263285,0.286559494981863,100
18,0.187701697906108,0.171810124971507,0.205078371157994,100
19,0.140407434714355,0.125518991929982,0.158480464942203,100
20,0.106078160831176,0.0908681042214259,0.120929402077307,100
21,0.0845306870968417,0.0679989505252617,0.0997460144245709,100
22,0.0674665778336614,0.0519692047527925,0.0828417384040093,100
23,0.0559446188859899,0.0421716120076349,0.0731795825022713,100
24,0.047705568946033,0.0322848583877996,0.0680898208761004,100
25,0.0429856577899167,0.0247696135651533,0.0648886170486737,100
26,0.0371840682229703,0.0198684793268166,0.0623680555555556,100
27,0.0354895001797085,0.0100987169349284,0.0673233886856177,100
28,0.0348992042706789,0.00726962547608972,0.0708954598760261,100
29,0.0283217006243926,0,0.0652272727272727,100
30,0.0265176679980511,0,0.0657894736842105,100
31,0.0290793095892051,0,0.0825255102040816,100
32,0.0239178520504881,0,0.0727272727272727,100
33,0.0277532597647402,0,0.0988414634146341,100
34,0.0270727351938934,0,0.0905230978260869,100
35,0.0269199715516392,0,0.100501253132832,100
36,0.0294965522562171,0,0.125,100
37,0.0319907329083026,0,0.166666666666667,100
38,0.0309141207949258,0,0.160576923076923,100
39,0.0103003663003663,0,0.105833333333333,100
40,0.022968364968365,0,0.195833333333333,100
41,0.0124285714285714,0,0.184166666666666,100
42,0.0154044047983442,0,0.185,99
43,0.0294622610949142,0,0.333333333333333,98
44,0.0187285223367698,0,0.299999999999999,97
45,0.00927835051546392,0,0.2,97
46,0.00886524822695036,0,0.1125,94
47,0.0292553191489362,0,0.5,94
48,0.0291164658634538,0,0.333333333333333,83
49,0.02,0,0.5,75
50,0.0208333333333333,0,0.112499999999997,72
51,0.0303030303030303,0,0.5,66
52,0,0,0,53
53,0,0,0,54
54,0,0,0,46
55,0,0,0,34
56,0.0606060606060606,0,1,33
57,0,0,0,20
58,0,0,0,28
59,0.117647058823529,0,1.2,17
60,0,0,0,17
61,0,0,0,9
62,0.05,0,0.524999999999999,20
63,0,0,0,8
64,0,0,0,6
65,0,0,0,8
66,0,0,0,1
67,0,0,0,9
68,0,0,0,2
69,0,0,0,2
70,0,0,0,3
71,0,0,0,6
72,0,0,0,7
73,0,0,0,1
74,0,0,0,1
75,0,0,0,2
76,0,0,0,1
77,0,0,0,1
78,0,0,0,1
82,0,0,0,1
83,0,0,0,2
86,0,0,0,1
88,0,0,0,1
96,0,0,0,1
99,0,0,0,1
