"id","date","susceptible_to_susceptible","susceptible_to_exposed","exposed_to_exposed","exposed_to_infected","infected_to_infected","infected_to_removed","removed_to_removed"
1,0,99900,100,0,0,0,0,0
1,1,99861,39,74,26,0,0,0
1,2,99830,31,91,22,23,3,0
1,3,99781,49,89,33,38,7,3
1,4,99725,56,98,40,64,7,10
1,5,99671,54,118,36,87,17,17
1,6,99591,80,126,46,107,16,34
1,7,99500,91,146,60,130,23,50
1,8,99377,123,177,60,164,26,73
1,9,99251,126,217,83,186,38,99
1,10,99091,160,252,91,236,33,137
1,11,98905,186,315,97,294,33,170
1,12,98680,225,375,126,346,45,203
1,13,98390,290,436,164,406,66,248
1,14,98058,332,541,185,484,86,314
1,15,97613,445,638,235,590,79,400
1,16,97102,511,833,250,705,120,479
1,17,96487,615,1018,326,815,140,599
1,18,95748,739,1198,435,985,156,739
1,19,94858,890,1455,482,1216,204,895
1,20,93833,1025,1782,563,1438,260,1099
1,21,92599,1234,2141,666,1690,311,1359
1,22,91198,1401,2562,813,2003,353,1670
1,23,89517,1681,2961,1002,2417,399,2023
1,24,87591,1926,3493,1149,2899,520,2422
1,25,85358,2233,4079,1340,3464,584,2942
1,26,82812,2546,4718,1594,4099,705,3526
1,27,79968,2844,5372,1892,4888,805,4231
1,28,76876,3092,6185,2031,5784,996,5036
1,29,73510,3366,6915,2362,6670,1145,6032
1,30,69885,3625,7681,2600,7793,1239,7177
1,31,65964,3921,8526,2780,8955,1438,8416
1,32,61876,4088,9395,3052,10107,1628,9854
1,33,57620,4256,10152,3331,11302,1857,11482
1,34,53460,4160,10852,3556,12559,2074,13339
1,35,49278,4182,11260,3752,13790,2325,15413
1,36,45271,4007,11556,3886,15051,2491,17738
1,37,41474,3797,11605,3958,16228,2709,20229
1,38,37827,3647,11459,3943,17330,2856,22938
1,39,34455,3372,11365,3741,18219,3054,25794
1,40,31399,3056,11126,3611,18874,3086,28848
1,41,28603,2796,10568,3614,19189,3296,31934
1,42,26219,2384,9994,3370,19534,3269,35230
1,43,23930,2289,9370,3008,19683,3221,38499
1,44,21865,2065,8826,2833,19463,3228,41720
1,45,20198,1667,8170,2721,19143,3153,44948
1,46,18636,1562,7370,2467,18649,3215,48101
1,47,17319,1317,6738,2194,18163,2953,51316
1,48,16121,1198,5937,2118,17462,2895,54269
1,49,15108,1013,5347,1788,16804,2776,57164
1,50,14233,875,4740,1620,15951,2641,59940
1,51,13465,768,4199,1416,15105,2466,62581
1,52,12793,672,3731,1236,14172,2349,65047
1,53,12214,579,3296,1107,13157,2251,67396
1,54,11666,548,2846,1029,12192,2072,69647
1,55,11205,461,2495,899,11347,1874,71719
1,56,10804,401,2197,759,10445,1801,73593
1,57,10458,346,1932,666,9665,1539,75394
1,58,10125,333,1722,556,8979,1352,76933
1,59,9846,279,1558,497,8137,1398,78285
1,60,9609,237,1367,470,7401,1233,79683
1,61,9390,219,1232,372,6732,1139,80916
1,62,9200,190,1085,366,6067,1037,82055
1,63,9036,164,973,302,5560,873,83092
1,64,8874,162,843,294,5028,834,83965
1,65,8729,145,762,243,4589,733,84799
1,66,8612,117,696,211,4157,675,85532
1,67,8504,108,609,204,3765,603,86207
1,68,8416,88,533,184,3408,561,86810
1,69,8334,82,465,156,3095,497,87371
1,70,8260,74,403,144,2794,457,87868
1,71,8216,44,362,115,2530,408,88325
1,72,8172,44,311,95,2268,377,88733
1,73,8129,43,264,91,2018,345,89110
1,74,8086,43,231,76,1803,306,89455
1,75,8046,40,213,61,1600,279,89761
1,76,8015,31,192,61,1443,218,90040
1,77,7977,38,169,54,1318,186,90258
1,78,7951,26,158,49,1195,177,90444
1,79,7924,27,136,48,1052,192,90621
1,80,7896,28,118,45,928,172,90813
1,81,7880,16,109,37,850,123,90985
1,82,7859,21,91,34,753,134,91108
1,83,7842,17,69,43,688,99,91242
1,84,7827,15,65,21,630,101,91341
1,85,7820,7,58,22,563,88,91442
1,86,7810,10,48,17,510,75,91530
1,87,7801,9,43,15,439,88,91605
1,88,7796,5,44,8,387,67,91693
1,89,7788,8,38,11,319,76,91760
1,90,7783,5,29,17,274,56,91836
1,91,7778,5,25,9,252,39,91892
1,92,7773,5,24,6,217,44,91931
1,93,7769,4,18,11,196,27,91975
1,94,7763,6,16,6,181,26,92002
1,95,7760,3,12,10,147,40,92028
1,96,7758,2,13,2,134,23,92068
1,97,7755,3,12,3,119,17,92091
1,98,7753,2,12,3,107,15,92108
1,99,7751,2,12,2,100,10,92123
1,100,7751,0,7,7,87,15,92133
1,101,7748,3,6,1,83,11,92148
1,102,7745,3,5,4,71,13,92159
1,103,7745,0,8,0,60,15,92172
1,104,7743,2,7,1,51,9,92187
1,105,7741,2,8,1,44,8,92196
1,106,7741,0,6,4,36,9,92204
1,107,7740,1,4,2,37,3,92213
1,108,7740,0,3,2,35,4,92216
1,109,7739,1,1,2,35,2,92220
1,110,7738,1,2,0,33,4,92222
1,111,7737,1,3,0,29,4,92226
1,112,7737,0,2,2,21,8,92230
1,113,7737,0,2,0,22,1,92238
1,114,7737,0,1,1,16,6,92239
1,115,7737,0,1,0,15,2,92245
1,116,7737,0,0,1,15,0,92247
1,117,7737,0,0,0,13,3,92247
1,118,7737,0,0,0,13,0,92250
1,119,7737,0,0,0,12,1,92250
1,120,7737,0,0,0,8,4,92251
1,121,7737,0,0,0,5,3,92255
1,122,7737,0,0,0,5,0,92258
1,123,7737,0,0,0,4,1,92258
1,124,7737,0,0,0,4,0,92259
1,125,7737,0,0,0,3,1,92259
1,126,7737,0,0,0,2,1,92260
1,127,7737,0,0,0,2,0,92261
1,128,7737,0,0,0,2,0,92261
