"source_exposure_date","mean_rt","ci_lower","ci_upper","n"
0,1.4856,1.16,1.8105,100
2,1.44314647193435,0,3,99
3,1.60420528654352,0.585,3.21041666666667,100
4,1.39605684951593,0.5,2.79833333333333,100
5,1.58083946145014,0.666666666666667,3.13125,100
6,1.51348290771985,0.678846153846154,2.62708333333333,100
7,1.44145894122292,0.654166666666667,2.57159090909091,100
8,1.52733794013303,0.63974358974359,2.56450892857143,100
9,1.52461440853452,0.7984375,2.446875,100
10,1.46145882042535,0.639448051948052,2.48172554347826,100
11,1.45423719455004,0.682954545454545,2.52967914438502,100
12,1.53873852013638,0.695955882352941,2.4878125,100
13,1.4674513084196,0.755,2.43522727272727,100
14,1.50940389987203,0.70625,2.51770833333333,100
15,1.47962860761642,0.719444444444444,2.28571428571429,100
16,1.55416144011836,0.881597222222222,2.3,100
17,1.44491788070159,0.815198863636364,2.4,100
18,1.45941849557884,0.753409090909091,2.46041666666667,100
19,1.49480709866994,0.848784722222222,2.46731601731602,100
20,1.51265178662874,0.955404135338346,2.23611111111111,100
21,1.48645378574721,0.791679566563467,2.1735826001955,100
22,1.50954959407982,0.827788461538462,2.46346153846154,100
23,1.47988353347852,0.852625,2.23443287037037,100
24,1.45858651097049,0.883421052631579,1.99375,100
25,1.47872594148583,0.877827380952381,2.07431318681319,100
26,1.46530641370791,0.923503861003861,1.97625,100
27,1.49548987139182,0.77706043956044,2.27437304075235,100
28,1.43522695650544,0.833695652173913,2.0734375,100
29,1.507097181913,1.02753188297074,2.25981432360743,100
30,1.49646713173959,0.965927419354839,2.11912878787879,100
31,1.48575093464243,1.01319444444444,2,100
32,1.44139080510405,0.915416666666667,1.988125,100
33,1.47362711260301,0.823447893569845,2.13354743083004,100
34,1.45959736909391,1.02631578947368,2.13614253393665,100
35,1.4884726292441,1.06088362068966,2.13833041958042,100
36,1.47211559003014,0.935096153846154,2.08607770582794,100
37,1.45408508720051,0.948904881101377,2.12277777777778,100
38,1.48587960027176,1.02788671023965,2.0525,100
39,1.46734440471089,1,1.98920454545455,100
40,1.47427835655423,1.12176724137931,2.0570652173913,100
41,1.47083013280937,0.978765161725067,1.8716391509434,100
42,1.45763155853521,1.02916666666667,2.02471036585366,100
43,1.51093022362928,1.12179962894249,2.02880952380952,100
44,1.48057213038884,1.00132007822686,1.87614285714286,100
45,1.44443299311261,1.06604488487321,1.9013202887538,100
46,1.46184836046059,0.946875,1.86146978021978,100
47,1.44651958283196,1.02498447204969,1.97345054389072,100
48,1.43092293356597,1.02009823576584,1.86683333333333,100
49,1.49249419942776,1.1255644499179,1.89917527251865,100
50,1.46533478653088,1.07701636050517,1.80965909090909,100
51,1.46926616940506,1.10472727272727,1.83227005870841,100
52,1.4276205589566,1.06631024096386,1.88948275862069,100
53,1.45141368705472,1.08335913312693,1.81858974358974,100
54,1.4404390273584,1.09339836660617,1.85378909382518,100
55,1.40507767676173,1.10773255813953,1.80227172958736,100
56,1.44719578601684,1.13807361125696,1.81119273984443,100
57,1.41452861281755,1.08042438271605,1.77724118529632,100
58,1.43089239221803,1.04555825242718,1.75002236135957,100
59,1.4345934013118,1.14534353630739,1.7841628959276,100
60,1.39501792055327,1.13486226611227,1.79269776876268,100
61,1.4196139389295,1.13433333333333,1.77247354045749,100
62,1.41031665073111,1.1086249463289,1.7358125,100
63,1.41032533654985,1.12073484069887,1.71943409408477,100
64,1.41014624399308,1.11595528455285,1.70344271412681,100
65,1.44006687611215,1.18622787610619,1.71274668874172,100
66,1.45359782446492,1.16517596378505,1.7909404001156,100
67,1.41089755905334,1.1224882629108,1.66798245614035,100
68,1.4383638807552,1.17922812910764,1.70157676135781,100
69,1.37722677300662,1.1498808625551,1.63558163048106,100
70,1.40094030050177,1.15418557870848,1.67361953251562,100
71,1.42081440429982,1.14562189054726,1.66687456687457,100
72,1.40157703722645,1.18667084055738,1.66577181208054,100
73,1.37611815367643,1.13079405162738,1.6180786099865,100
74,1.36268756144752,1.1033195442832,1.6006981580511,100
75,1.40008511339675,1.12580391990497,1.67704802259887,100
76,1.37389969211735,1.15065172543136,1.61999956768597,100
77,1.3894703403913,1.19304089119542,1.65815463140586,100
78,1.3670040623133,1.18530332681018,1.61105657102565,100
79,1.3590093585242,1.14748940388296,1.58976147231603,100
80,1.37126484920803,1.18764705882353,1.66559801381693,100
81,1.36183558291116,1.13904358353511,1.6050351031154,100
82,1.34072223323373,1.15116645828597,1.52722728807835,100
83,1.35985580052238,1.17143291200778,1.59975546605293,100
84,1.32994181294319,1.1331591119334,1.53756334989212,100
85,1.34302142253668,1.12962555066079,1.55769622833843,100
86,1.32081878651531,1.10882740825688,1.59655775075988,100
87,1.33946494343929,1.14167132867133,1.59347959631417,100
88,1.32595787962402,1.13219352118158,1.50072463768116,100
89,1.3177239645414,1.10492323768186,1.51444961620121,100
90,1.3092248496565,1.154796585267,1.5078431372549,100
91,1.3003550395596,1.11720261400276,1.50286885245902,100
92,1.30714326597628,1.13782812985399,1.46498407253124,100
93,1.2940442116152,1.11201690821256,1.49923448056171,100
94,1.27505011629246,1.10821599577991,1.44174760617584,100
95,1.27175955512326,1.1020656779661,1.45888846388314,100
96,1.28197559787716,1.12241944847605,1.4704337988392,100
97,1.26326934838679,1.09669962226334,1.46816629017923,100
98,1.26548685704547,1.07848614406006,1.4599645779416,100
99,1.26602265333205,1.09887432795699,1.48120095002065,100
100,1.22888009578864,1.06860118127648,1.41444281524927,100
101,1.24238062203676,1.11175829868322,1.4205479275391,100
102,1.225461325879,1.07131018711019,1.40750839995366,100
103,1.21317487557859,1.08303793150833,1.34961240310077,100
104,1.21660251510926,1.06607910599916,1.40826826807404,100
105,1.21155810921765,1.05263433075933,1.43063886285536,100
106,1.20503812359938,1.05821410190427,1.38025822124976,100
107,1.18434175086475,1.0678407168128,1.34260539910015,100
108,1.1883313010059,1.06078151629396,1.37636123793129,100
109,1.16921614319378,1.04294175148065,1.36095477021524,100
110,1.16702510765709,1.01956048924679,1.31104803574066,100
111,1.14975510426276,1.02623753665689,1.31706494550652,100
112,1.14839856063684,0.998915815511269,1.31673004305711,100
113,1.13183296677851,0.985911594677138,1.26995166487648,100
114,1.13150467259705,0.988627758212167,1.28258317535545,100
115,1.12109576257598,0.965474796557579,1.31986465138124,100
116,1.10273805079225,0.975372965641953,1.22193175564117,100
117,1.09490356174256,0.949418218085106,1.23331835970375,100
118,1.08156505061892,0.930492430006086,1.24715036903133,100
119,1.07703383936111,0.964322800874463,1.18966004507288,100
120,1.06471680145183,0.910907277534155,1.20073737354338,100
121,1.05916318165394,0.897282051282051,1.19526839883936,100
122,1.04631068718384,0.936454830011447,1.18869770566764,100
123,1.03321674791834,0.901231079362432,1.17254545454545,100
124,1.01542507638303,0.908203523238381,1.1682519358452,100
