"sim_id","date","median_rt","ci_lower","ci_upper","method","delay_scenario","delay_percentage","mean_si","std_si","R0_value","model_type","transition_type"
76,2,3.1643970975221,3.04652756102745,3.28526838538823,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,3,3.1857309133918,3.09277290836985,3.28053319002874,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,4,3.13997982346004,3.06750613500318,3.21358614599554,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,5,2.98998104567086,2.93432162838136,3.04633990071439,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,6,2.87029801812943,2.82687714852857,2.91416125828648,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,7,2.6762443943891,2.64249887991836,2.71027598717001,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,8,2.44384101163947,2.41745747477747,2.47041581616157,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,9,2.17378771269895,2.15298289811251,2.19472612570204,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,10,1.92317345073404,1.90636959201339,1.94007576660476,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,11,1.68601385349724,1.67212743471873,1.69997694146658,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,12,1.48859519156076,1.47675733437307,1.50049614278906,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,13,1.30046979076167,1.29017502339726,1.31081917678378,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,14,1.13636023193724,1.12718178634831,1.14558836848187,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,15,0.988785006751637,0.980423454899796,0.997193965069836,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,16,0.863308282453449,0.855505854842152,0.871158006546404,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,17,0.750174289459466,0.742761409047023,0.757636327764907,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,18,0.65931633051557,0.652097905216607,0.666587830092283,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,19,0.578820389324673,0.571678521275512,0.586021492491025,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,20,0.514868551777366,0.50765161597502,0.522153564519566,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,21,0.456981671349363,0.44960626488756,0.464437298439796,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,22,0.404186749868175,0.396580777857851,0.411889355257075,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,23,0.355239139957339,0.347340448972638,0.363256679948824,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,24,0.31260572052402,0.304319654617132,0.321040848826753,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,25,0.278697282565689,0.269873026889437,0.28771183055421,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,26,0.243728648762198,0.234359402713876,0.253344340770316,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,27,0.227250623924104,0.216909797878979,0.237915000973315,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,28,0.216770643034655,0.20518088519027,0.228788839980498,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,29,0.213058477970464,0.199854998526396,0.226831078955567,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,30,0.204965831636921,0.190089458421812,0.220598850589719,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,31,0.209572320620709,0.192276107595228,0.227875992575196,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,32,0.206004796247801,0.1863208299695,0.227028679397258,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,33,0.215321452841262,0.192223354769668,0.240199884708255,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,34,0.222695270372226,0.195788730267051,0.251961069862819,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,35,0.226890562267561,0.195884128201366,0.261008674414012,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
76,36,0.221776302365633,0.186889405217987,0.260757055564332,"Cori","medium_delay",0.3,3.25203643997147,2.53953996905689,5,"partial","susceptible_to_exposed"
