"sim_id","method","date","median_rt","q025_rt","q975_rt","reporting_rate"
1,"EpiLPS",17,2.30213426042997,2.13257929675353,2.4851700291349,0.7
1,"EpiLPS",18,2.30830410752124,2.15030234467821,2.47791565962171,0.7
1,"EpiLPS",19,2.3097847473959,2.16374480035366,2.46568152511826,0.7
1,"EpiLPS",20,2.3065949600246,2.16906629717442,2.45284356524353,0.7
1,"EpiLPS",21,2.30166706528628,2.16918200321864,2.44224379123691,0.7
1,"EpiLPS",22,2.29632572438444,2.16917692653051,2.43092749511393,0.7
1,"EpiLPS",23,2.29224729667057,2.17381787076634,2.41712874834414,0.7
1,"EpiLPS",24,2.2897776804322,2.18149625973483,2.40343379110024,0.7
1,"EpiLPS",25,2.28902091374425,2.18835633965636,2.39431606663354,0.7
1,"EpiLPS",26,2.28967448870727,2.19300865664569,2.39060126294974,0.7
1,"EpiLPS",27,2.29137066611683,2.19763632742176,2.38910299398827,0.7
1,"EpiLPS",28,2.29382244137193,2.20518422197551,2.3860235077448,0.7
1,"EpiLPS",29,2.29653881878746,2.21509512506737,2.38097700027094,0.7
1,"EpiLPS",30,2.29874688382832,2.22343972867266,2.3766046669792,0.7
1,"EpiLPS",31,2.29957436861898,2.22763721761398,2.37383458805442,0.7
1,"EpiLPS",32,2.29837535733376,2.22835318912764,2.37059785180065,0.7
1,"EpiLPS",33,2.29458047334191,2.22768072270544,2.36348929852376,0.7
1,"EpiLPS",34,2.28769811507676,2.22613237273906,2.35096651475686,0.7
1,"EpiLPS",35,2.27722435340041,2.22106397402591,2.33480476760884,0.7
1,"EpiLPS",36,2.26272092264132,2.21006021612882,2.31663641397378,0.7
1,"EpiLPS",37,2.24381295279665,2.19296707112865,2.29583774121461,0.7
1,"EpiLPS",38,2.22030505343642,2.17145923636129,2.270249631108,0.7
1,"EpiLPS",39,2.19208787810662,2.14680132865226,2.23832974258437,0.7
1,"EpiLPS",40,2.15925885689277,2.1181133409843,2.20120364706415,0.7
1,"EpiLPS",41,2.1220383144168,2.08390400476062,2.16087046119486,0.7
1,"EpiLPS",42,2.0807205383831,2.04411777079515,2.11797872935919,0.7
1,"EpiLPS",43,2.03561053252565,2.00020067213901,2.07164725912129,0.7
1,"EpiLPS",44,1.98701983323725,1.95374058341931,2.02086594872704,0.7
1,"EpiLPS",45,1.93528348604737,1.9049585567504,1.96609115620691,0.7
1,"EpiLPS",46,1.88076620258621,1.85293773426059,1.90901261461012,0.7
1,"EpiLPS",47,1.82382213962477,1.79737499670171,1.85065843415508,0.7
1,"EpiLPS",48,1.76478916517227,1.73910484807339,1.79085280623517,0.7
