method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.3529104759087835,1.4611258759805754
Cori,medium_delay,1.3680784276697335,1.4764589199629112
ABM,true_baseline,1.4641215300617825,1.6160412156396295
Wallinga-Teunis,high_delay,1.541664125776727,1.6304651017049694
Wallinga-Teunis,medium_delay,1.557533489407068,1.6454358668744673
