method,delay_scenario,avg_abs_bias,avg_rmse
Cori,high_delay,1.9471353939671041,2.129436857466941
Cori,medium_delay,1.9583909137824973,2.137142102469325
Wallinga-Teunis,high_delay,2.1430093553633665,2.2603431879587035
Wallinga-Teunis,medium_delay,2.1649815953769,2.2774883770906995
ABM,true_baseline,2.2321127930178273,2.407217083970055
