"sim_id","method","date","median_rt","q025_rt","q975_rt"
1,"RtEstim",14,2.00334401637675,1.84395573814314,2.16273229461036
1,"RtEstim",15,1.98845317904672,1.84300441575162,2.13390194234181
1,"RtEstim",16,1.96959653428982,1.83510477562246,2.10408829295717
1,"RtEstim",17,1.94704979464563,1.82351910516877,2.07058048412249
1,"RtEstim",18,1.92110251856902,1.81001701538076,2.03218802175728
1,"RtEstim",19,1.89205397422864,1.79143684493971,1.99267110351756
1,"RtEstim",20,1.86020920375677,1.77253125260209,1.94788715491145
1,"RtEstim",21,1.82587533849004,1.74819671140433,1.90355396557575
1,"RtEstim",22,1.7893582053202,1.72072795535823,1.85798845528217
1,"RtEstim",23,1.75095925406363,1.69111946640589,1.81079904172137
1,"RtEstim",24,1.71097282600384,1.65867371879872,1.76327193320896
1,"RtEstim",25,1.66968377468027,1.62423639814239,1.71513115121816
1,"RtEstim",26,1.6273654417537,1.58771391391303,1.66701696959438
1,"RtEstim",27,1.58427798347203,1.55005017499248,1.61850579195158
1,"RtEstim",28,1.54066703697291,1.51079088756662,1.57054318637919
1,"RtEstim",29,1.49676271040429,1.47083041247869,1.5226950083299
1,"RtEstim",30,1.4527788766423,1.43014912909356,1.47540862419104
1,"RtEstim",31,1.40891274715452,1.38917055165544,1.42865494265359
1,"RtEstim",32,1.36534470029284,1.34789836579357,1.38279103479211
1,"RtEstim",33,1.32223833688361,1.30678576335324,1.33769091041397
1,"RtEstim",34,1.27974073535417,1.26588085340009,1.29360061730825
1,"RtEstim",35,1.23798287866767,1.22543547981786,1.25053027751748
1,"RtEstim",36,1.19708022597451,1.18558946341036,1.20857098853866
1,"RtEstim",37,1.15713340299965,1.14650155084664,1.16776525515266
1,"RtEstim",38,1.11822898669594,1.10826846687553,1.12818950651635
1,"RtEstim",39,1.08044036150772,1.07097988377409,1.08990083924135
1,"RtEstim",40,1.04382862662298,1.03470540036771,1.05295185287825
1,"RtEstim",41,1.00844353576545,0.999498097405687,1.01738897412521
1,"RtEstim",42,0.974324453320445,0.965474447355631,0.983174459285259
