method,rate_label,avg_abs_bias,avg_rmse
Cori,70%,1.9103469676963214,2.1040269419324797
Wallinga-Teunis,70%,2.0906989383400094,2.2204233261513893
ABM,100%,2.2321127930178273,2.407217083970055
