method,reporting_rate,rate_label,R0_value,n_obs,mean_rt,median_rt,sd_rt,bias,abs_bias,rmse
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
ABM,1,100%,1.5,64,1.4544819943141807,1.4581090347528496,0.039537688254006866,-0.04551800568581932,0.04551800568581932,0.06008903547406095
