"sim_id","date","median_rt","upper","lower","mean_si","std_si","n_transmissions","method","R0_true","model_type","how_infected"
1,2,5.55942060091849,6.33843643299871,4.84701761652732,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,3,4.03437301966809,4.58765729262604,3.52747526117748,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,4,3.71839874856564,4.17050079378016,3.30021732100247,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,5,3.55954982137397,3.94633109101558,3.19890845797322,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,6,3.42090293166077,3.75704544765257,3.10543567619079,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,7,3.29461519087291,3.58896449912862,3.01681843177392,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,8,3.38096743087031,3.64806629060369,3.12723601391635,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,9,3.30903549543849,3.5466083335554,3.0823169749915,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,10,3.32277901158252,3.53677516401157,3.11759432727036,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,11,3.30287555490137,3.49486821607177,3.11804671244549,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,12,3.21455956329191,3.38511178536054,3.04983461744925,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,13,3.26810144086713,3.42304855516249,3.1179023554545,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,14,3.23520065623551,3.37435439448703,3.09992626581915,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,15,3.18450429239225,3.3091232028623,3.06305409477097,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,16,3.18520909716454,3.29778109797796,3.07522855729659,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,17,3.16125556194503,3.26267720286183,3.06195785884366,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,18,3.13930921528746,3.23076762419449,3.04959336078102,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,19,3.10701469967061,3.18940976379674,3.02605107254379,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,20,3.07673543168263,3.15104822610065,3.00360030080176,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,21,3.02356206342402,3.09040042720984,2.95769443003959,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,22,2.9883311791616,3.04868994496263,2.92877438825439,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,23,2.92438514923195,2.97870709145972,2.87072769515865,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,24,2.87093554556537,2.91997672719152,2.82244656321045,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,25,2.77848813067045,2.82253247432463,2.73490438341445,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,26,2.69634974713984,2.73604546941136,2.6570398433852,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,27,2.5789254668455,2.61454465124137,2.5436312661308,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,28,2.46545016967809,2.49750564858213,2.43367015969441,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,29,2.33311440425512,2.36192871471791,2.3045353989642,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,30,2.20108791302448,2.22706068317403,2.17531786816391,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,31,2.05873332480703,2.08215772737618,2.03548526868947,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,32,1.91976305934541,1.94096796911382,1.89871315624594,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,33,1.7720639810217,1.79127111347443,1.75299464251719,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,34,1.62722938017443,1.64468594700212,1.60989677439695,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,35,1.49362887121833,1.50959321468505,1.47777747798002,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,36,1.36188900896659,1.37653759335903,1.34734471821606,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
1,37,1.22887687534504,1.24233854838494,1.21551280032592,7.23810101255078,4.39435612510405,98958,"Cori",5,"full","exposed_to_infected"
