method,rate_label,avg_abs_bias,avg_rmse
Cori,70%,1.9516194104651612,2.1334818708995926
Wallinga-Teunis,70%,2.1975168964109812,2.3057018500567312
ABM,100%,2.2321127930178273,2.407217083970055
