method,rate_label,avg_abs_bias,avg_rmse
Cori,70%,1.389606438648737,1.4986039833626512
ABM,100%,1.4641215300617825,1.6160412156396295
Wallinga-Teunis,70%,1.5795297630757845,1.665380607142202
