method,rate_label,avg_abs_bias,avg_rmse
Cori,70%,1.310123613246965,1.4204433761017947
Wallinga-Teunis,70%,1.5005331386530407,1.5919236723709864
ABM,100%,1.4641215300617825,1.6160412156396295
