"method","R0_value","mean_rt_overall","median_rt_overall","sd_rt","bias","abs_bias","rmse"
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",1.5,0.421935485908886,0.108297153243582,0.656495529082405,-1.07806451409111,1.07806451409111,1.25955361698691
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
"ABM",2,0.201084861595787,0.0490514032017903,0.419416442829914,-1.79891513840421,1.79891513840421,1.84641740447898
